referencia;variante;descricao;preco_unitario;porcentagem_imposto;pagina
LM712;;LED G5 20W 6500K 127/220V;16.60;6.50;38
LM3289;;LED G5 26W 4000K 127/220V;37.20;6.50;38
LM3290;;LED G5 26W 6500K 127/220V;37.20;6.50;38
LM437;;LED 10W 3000K 127/220V;6.95;6.50;38
LM575;;LED 10W 4000K 127/220V;6.95;6.50;38
LM438;;LED 10W 6500K 127/220V;6.95;6.50;38
LM596;;LED 20W 3000K 127/220V;7.80;6.50;38
LM577;;LED TUBE 20W 4000K 127V/220V;7.80;6.50;38
LM579;;LED 20W 6500K 127/220V;8.15;6.50;38
LM3056;;HO LED 2,4M 65W 6500K 127/220V;33.30;6.50;38
LM2693;;INTERRUPTOR 1 CIRCUITO POT. MAX 250W 127/220V LINHA SMART;52.90;9.75;38
LM2694;;INTERRUPTOR 2 CIRCUITOS POT. MAX 2X250W 127/220V LINHA SMART;69.10;9.75;38
LM2695;;DIMMER LED 2 CIRCUITOS POT. 10W A 150W 127/220V LINHA SMART;104.10;9.75;38
LM2699;;CONTROLADOR 5 CIRCUITOS POT. MAX 72W PARA FITAS LED 12/24V LINHA SMART;49.65;9.75;38
OR1209;;QUADRA LED 34W - 3000K - BRANCO FOSCO;529.99;9.75;38
OR1993;;TÉGOLA 16W - LED - BRANCO E PRETO - 3000K;421.30;9.75;38
OR1994;;TENDA 21W - LED - BRANCO E PRETO - 3000K;553.70;9.75;38
OR1503;;ANELLI - 49W - LED - COBRE - 3000K;976.10;9.75;38
OR2102;;ANNE 32W - LED - DOURADO - 3000K;1516.65;9.75;38
OR1997;;ARENA 53W - LED - DOURADO - 3000K;830.55;9.75;38
OR1186;;ASTRO 10XG9 FUMÊ - DOURADO;529.99;15.00;38
OR1991;;AUREA 54W - LED - DOURADO - 3000K;1322.85;9.75;38
OR1822;;BASILISCO 60W - LED - ROSÉ GOLD - 3000K;480.30;9.75;39
OR1265;;BLOW 12XG9 ACETINADO - PTF - BZ;430.10;15.00;39
OR1241;;BOLLA LED 20W - 3000K - ÂMBAR - CR;322.30;9.75;39
OR1242;;BOLLA LED 30W - 3000K - FUMÊ - CR;377.30;9.75;39
OR1986;;RAGNO 15W - LED - PRETO E DOURADO - 3000K;1202.50;9.75;39
OR2108;;EVA 10W - LED - BRANCO/COBRE - 3000K;337.05;9.75;39
OR1244;;BUBBLE 6P LED 24W - OPALINO - CR;377.30;9.75;39
OR1246;;BUBBLE 3A LED 12W - OPALINO - CR;214.50;9.75;39
OR1820;;CABLATA 36W - LED - ROSÉ GOLD - 3000K;485.10;9.75;39
OR1983;;CASSENA 34W - LED - DOURADO - 3000K;961.75;9.75;39
OR1495;;DIAGON - 1XE27 - 200MM DIÂMETRO;183.25;15.00;39
OR1497;;DIAGON - 1XE27 - 300MM DIÂMETRO;379.15;15.00;39
OR2105;;GAIL 5W - LED - COBRE/PRETO - 3000K;312.95;9.75;39
OR1763;;KING III 12W - LED - DOURADO - 3000K;106.70;9.75;39
OR1778;;MATITA 9XG9 - CROMADO/TRANSPARENTE;842.60;15.00;39
OR2115;;NINA 7W - LED - DOURADO - 3000K;239.55;9.75;39
OR2116;;NINA 7W - LED - MARINHO - 3000K;239.55;9.75;39
OR1640;;OCCHIO ROSE GOLD - 1XG9 - 200MM DIÂMETRO;179.55;15.00;40
OR1642;;OCCHIO DOURADO- 1XG9 - D200XH1500MM - BASE MARMORE;409.25;9.75;40
OR1192;;PAN 4XG9 ROSÊ GOLD - PTF;317.55;15.00;40
OR2144;;PASSANT I - 44W - LED - PRETO E DOURADO - BRANCO QUENTE;1624.99;9.75;40
OR2145;;PASSANT II - 26W - LED - PRETO E DOURADO - BRANCO QUENTE;902.80;9.75;40
OR2131;;PEI 48W - LED - DOURADO - 3000K;589.80;9.75;40
OR1984;;PICCI 46W - LED - DOURADO - 3000K;782.40;9.75;40
OR1992;;PIOVERE 51W - LED - DOURADO - 3000K;1202.50;9.75;40
OR1502;;PROFILLO - 40W - LED - DOURADO - 3000K;529.65;9.75;40
OR1774;;SOGNO 47W - LED - BRANCO - 3000K;842.60;9.75;40
OR1771;;RINGUER 102W - LED - DOURADO - 3000K - 1000MM;1685.20;9.75;40
OR1506;;SCRIBBLE CONO 80W - LED - DOURADO - 3000K;841.40;9.75;40
OR1637;;SCRIBBLE LINEA 80W - LED - DOURADO - 3000K;841.40;9.75;40
OR1764;;SORELLE 38W - LED - PRETO/DOURADO - 3000K;547.70;9.75;40
OR1221;;TAZZA25 1XE27 ROSÊ GOLD;214.50;15.00;40
OR1222;;TAZZA18 1XE27 ROSÊ GOLD;161.70;15.00;40
OR1223;;TAZZA22 1XE27 FUME - DOURADO - DOU;214.50;15.00;41
OR1232;;VINO200 1XE27 FUMÊ - PT - PTF;239.55;15.00;41
OR1234;;VINO200 1XE27 ROSÊ GOLD - PT - PTF;295.20;15.00;41
OR1210;;WING LED 32W - 3000K - CROMADO;537.90;9.75;41
OR1638;;CAVUTTI - 20W - LED - PRETO FOSCO - 3000K;391.20;9.75;41
OR1639;;CROTTA - 30W - LED - PRETO FOSCO - 3000K;524.10;9.75;41
OR1202;;CUPOLA 2XG9 PTF;214.50;15.00;41
OR1203;;CUPOLA 4XG9 PTF;430.10;15.00;41
OR1196;;ELLI 1XE27 OPALINO - PTF;423.80;15.00;41
LM2980;;LED PENDENTE HIVE 9W 3000K 127-220V PRETO;77.65;9.75;41
OR2109;;ISA 80W - LED - PRETO - 3000K;480.30;9.75;41
OR2129;;LIZ 7W - LED - BRANCO - 3000K;204.65;9.75;41
OR2130;;LIZ 7W - LED - PRETO - 3000K;204.65;9.75;41
LM1102;;12V 5A 60W 127V DIMERIZÁVEL TRIAC, PARA FITA LED;142.95;3.75;41
LM1103;;12V 5A 60W 220V DIMERIZÁVEL TRIAC, PARA FITA LED;142.95;3.75;41
LM1115;;300W AC100V-240V, PARA FITA LED 12V;63.20;3.75;41
LM1117;;SLIM 24W AC100V-240V, PARA FITA LED 12V;12.25;3.75;41
LM1118;;SLIM 36W AC100V-240V, PARA FITA LED 12V;16.80;3.75;41
LM1119;;SLIM 48W AC100V-240V, PARA FITA LED 12V;20.45;3.75;41
