referencia;variante;descricao;detalhes;preco_unitario;porcentagem_imposto;pagina
6608;Travertino Bruto, Kouros e Verde Guatemala;Arandela Bolle Rock Flux P;"Largura: Largura: 25cm| 25cm| Altura: Altura: 25cm| 25cm| Profundidade: Profundidade: 7cm 7cm
Fita Fita de de Led: Led: 10,7W 10,7W | | 3.000K 3.000K ou ou 4.000K 4.000K | | 1.071 1.071 lm lm | | 127V 127V ou ou 220V 220V
Material: Material: Alumínio Alumínio e e Pedra Pedra
Cores: Cores: Sólidas, Sólidas, Automotivas Automotivas e e Especiais Especiais
Bronze Bronze Armani, Armani, Travertino Travertino Bruto, Bruto, Kouros Kouros e e Verde Verde Guatemala Guatemala";603.68;16.60;6
6608;Bronze Armani;Arandela Bolle Rock Flux P;"Largura: Largura: 25cm| 25cm| Altura: Altura: 25cm| 25cm| Profundidade: Profundidade: 7cm 7cm
Fita Fita de de Led: Led: 10,7W 10,7W | | 3.000K 3.000K ou ou 4.000K 4.000K | | 1.071 1.071 lm lm | | 127V 127V ou ou 220V 220V
Material: Material: Alumínio Alumínio e e Pedra Pedra
Cores: Cores: Sólidas, Sólidas, Automotivas Automotivas e e Especiais Especiais
Bronze Bronze Armani, Armani, Travertino Travertino Bruto, Bruto, Kouros Kouros e e Verde Verde Guatemala Guatemala";738.31;16.60;6
6608C;Travertino Bruto, Kouros e Verde Guatemala;Arandela Bolle Rock Axs P;"Largura: 25cm| Altura: 25cm| Profundidade: 7cm
Fita de Led: 9,1W | 3.000K ou 4.000K | 910 lm | 127V ou 220V
Material: Alumínio e Pedra
Cores: Sólidas, Automotivas e Especiais
Cores: Bronze Armani, Travertino Bruto, Kouros e Verde Guatemala";552.74;16.60;6
6608C;Bronze Armani;Arandela Bolle Rock Axs P;"Largura: 25cm| Altura: 25cm| Profundidade: 7cm
Fita de Led: 9,1W | 3.000K ou 4.000K | 910 lm | 127V ou 220V
Material: Alumínio e Pedra
Cores: Sólidas, Automotivas e Especiais
Cores: Bronze Armani, Travertino Bruto, Kouros e Verde Guatemala";687.62;16.60;6
6609;Travertino Bruto, Kouros e Verde Guatemala;Arandela Bolle Rock Flux M;"Largura: 35cm| Altura: 35cm| Profundidade: 7cm
Fita de Led: 13,5W | 3.000K ou 4.000K | 1.351 lm | 127V ou 220V
Material: Alumínio e Pedra
Cores: Sólidas, Automotivas e Especiais
Bronze Armani, Travertino Bruto, Kouros e Verde Guatemala";939.70;16.60;6
6609;Bronze Armani;Arandela Bolle Rock Flux M;"Largura: 35cm| Altura: 35cm| Profundidade: 7cm
Fita de Led: 13,5W | 3.000K ou 4.000K | 1.351 lm | 127V ou 220V
Material: Alumínio e Pedra
Cores: Sólidas, Automotivas e Especiais
Bronze Armani, Travertino Bruto, Kouros e Verde Guatemala";1203.40;16.60;6
6609C;Travertino Bruto, Kouros e Verde Guatemala;Arandela Bolle Rock Axs M;"Largura: 35cm| Altura: 35cm| Profundidade: 7cm
Fita de Led: 13,5W | 3.000K ou 4.000K | 1.351 lm | 127V ou 220V
Material: Alumínio e Pedra
Cores: Sólidas, Automotivas e Especiais
Bronze Armani, Travertino Bruto, Kouros e Verde Guatemala";924.95;16.60;7
6609C;Bronze Armani;Arandela Bolle Rock Axs M;"Largura: 35cm| Altura: 35cm| Profundidade: 7cm
Fita de Led: 13,5W | 3.000K ou 4.000K | 1.351 lm | 127V ou 220V
Material: Alumínio e Pedra
Cores: Sólidas, Automotivas e Especiais
Bronze Armani, Travertino Bruto, Kouros e Verde Guatemala";1188.65;16.60;7
6610;Travertino Bruto, Kouros e Verde Guatemala;Arandela Bolle Rock Flux G;"Largura: 40cm| Altura: 40cm| Profundidade: 7cm
Fita de Led: 14,7W | 3.000K ou 4.000K | 1.470 lm | 127V ou 220V
Material: Alumínio e Pedra
Cores: Sólidas, Automotivas e Especiais
Bronze Armani, Travertino Bruto, Kouros e Verde Guatemala";1155.45;16.60;7
6610;Bronze Armani;Arandela Bolle Rock Flux G;"Largura: 40cm| Altura: 40cm| Profundidade: 7cm
Fita de Led: 14,7W | 3.000K ou 4.000K | 1.470 lm | 127V ou 220V
Material: Alumínio e Pedra
Cores: Sólidas, Automotivas e Especiais
Bronze Armani, Travertino Bruto, Kouros e Verde Guatemala";1501.08;16.60;7
6610C;Travertino Bruto, Kouros e Verde Guatemala;Arandela Bolle Rock Axs G;"Largura: 40cm| Altura: 40cm| Profundidade: 7cm
Fita de Led: 13,5W | 3.000K ou 4.000K | 1.351 lm | 127V ou 220V
Material: Alumínio e Pedra
Cores: Sólidas, Automotivas e Especiais
Bronze Armani, Travertino Bruto, Kouros e Verde Guatemala";1101.80;16.60;7
6610C;Bronze Armani;Arandela Bolle Rock Axs G;"Largura: 40cm| Altura: 40cm| Profundidade: 7cm
Fita de Led: 13,5W | 3.000K ou 4.000K | 1.351 lm | 127V ou 220V
Material: Alumínio e Pedra
Cores: Sólidas, Automotivas e Especiais
Bronze Armani, Travertino Bruto, Kouros e Verde Guatemala";1446.78;16.60;7
6611;Travertino Bruto, Kouros e Verde Guatemala;Arandela Bolle Rock Form Simples;"Largura: 22cm| Altura: 62cm| Profundidade: 13cm
Fita de Led: 24,8W | 3.000K ou 4.000K | 2.484 lm | 127V ou 220V
Material: Alumínio e Pedra
Cores: Sólidas, Automotivas e Especiais
Bronze Armani, Travertino Bruto, Kouros e Verde Guatemala";1314.00;16.60;7
6611;Bronze Armani;Arandela Bolle Rock Form Simples;"Largura: 22cm| Altura: 62cm| Profundidade: 13cm
Fita de Led: 24,8W | 3.000K ou 4.000K | 2.484 lm | 127V ou 220V
Material: Alumínio e Pedra
Cores: Sólidas, Automotivas e Especiais
Bronze Armani, Travertino Bruto, Kouros e Verde Guatemala";1488.64;16.60;7
