referencia;variante;descricao;detalhes;preco_unitario;porcentagem_imposto;pagina
ALR-60-2;;ALIANÇA RED - DUAS ALIANÇAS ( Ø60/40CM ) - 3000K - 38W (1,20M DE ALTURA);;2429.89;9.75;26
ALR-60-3;;ALIANÇA RED - TRES ALIANÇAS ( Ø60 / 40 / 20CM ) - 3000K - 45W (1,20M DE ALTURA);;2893.08;9.75;26
ALR-70-2;;ALIANÇA RED- DUAS ALIANÇAS ( Ø70 / 50CM ) - LED 3000K- 48W (1,50M DE ALTURA);;2749.71;9.75;26
ALR-70-3;;ALIANÇA RED- TRES ALIANÇAS ( Ø70 / 50 / 30CM ) - LED 3000K - 59W (1,50M DE ALTURA);;3381.99;9.75;26
ALR-80-2;;ALIANÇA RED - DUAS ALIANÇAS ( Ø80/60CM ) - 3000K - 54W (1,50M DE ALTURA);;3279.06;9.75;26
ALR-80-3;;ALIANÇA RED - TRES ALIANÇAS ( Ø80 /60 / 40CM ) - 3000K - 69W (1,50M DE ALTURA);;4124.56;9.75;26
ALR-100-3;;ALIANÇA RED. TRES ALIANÇAS ( Ø100 / 80 / 60CM ) - 3000K - 95W (1,50M DE ALTURA);;5514.12;9.75;26
ALR-100-5;;ALIANÇA RED. CINCO ALIANÇAS ( Ø100 / 80 / 60 / 40 /20 CM ) - 3000K - 117W (1,50M DE ALTURA);;6844.86;9.75;26
ALR-100-5-ESP-5,0M;;ALIANÇA RED. CINCO ALIANÇAS ( Ø100 / 90 / 80 /70 / 60 CM ) - 3000K - 161W ( 5,0M DE ALTURA);;8936.55;9.75;26
ALR-110-5-5,0M;;ALIANÇA RED. CINCO ALIANÇAS ( Ø110 / 90 / 70 / 50 / 30CM ) - 3000K - 142W (5,0M DE ALTURA);;7745.50;9.75;26
ALR-110-5-ESPECIAL;;ALIANÇA RED. CINCO ALIANÇAS ( Ø110 / 100 / 90 / 80 / 70 CM ) - 3000K - 183W (2,0M DE ALTURA);;9796.76;9.75;26
ALR-120-5;;ALIANÇA RED. CINCO ALIANÇAS ( Ø120 / 100 / 80 /60 /40CM ) - 3000K - 159W (1,50M DE ALTURA);;9201.23;9.75;26
ALR-120-11-5,0M;;ALIANÇA RED. ONZE ALIANÇAS ( Ø 120/110/100/90/80/70/60/50/40/30/20CM ) - 3000K - 301W - ( 5,0M ALTURA );;16961.44;9.75;26
ALR-40-1-SLIM;;ALIANÇA RED. Ø40 CM - 3000K - 15W (1,20M DE ALTURA) - SLIM;;1095.47;9.75;27
ALR-40-2-SLIM;;ALIANÇA RED - DUAS ALIANÇAS ( Ø40 / 20CM ) - 3000K - 22W (1,20M DE ALTURA) - SLIM;;1635.86;9.75;27
ALR-50-2-SLIM;;ALIANÇA RED - DUAS ALIANÇAS ( Ø50/30CM ) - 3000K - 31W (1,20M DE ALTURA) - SLIM;;1749.81;9.75;27
ALR-60-2-SLIM;;ALIANÇA RED - DUAS ALIANÇAS ( Ø60 / 40CM ) - 3000K - 38W (1,20M DE ALTURA)-SLIM;;2396.81;9.75;27
ALR-60-3-SLIM;;ALIANÇA RED - TRES ALIANÇAS ( Ø60 / 40 / 20CM ) - 3000K - 45W (1,2M DE ALTURA)-SLIM;ATÉ 2M DE CABO NÃO ALTERA VALOR;2746.03;9.75;27
